folder_name,split,tp,fp,tn,fn,p_unsure_num,n_unsure_num,mean_time,unsure_num,acc,sensitivity,specificity,precision,recall,f1,b_acc,un_sure_rate
ex_base_3,all,275,20,125,118,4,3,13.408771437898688,7,0.7434944237918215,0.6997455470737913,0.8620689655172413,0.9322033898305084,0.6997455470737913,0.7994186046511627,0.7809072562955164,0.012844036697247707
ex_base_3,train,182,16,77,78,3,3,13.408771437898688,6,0.7337110481586402,0.7,0.8279569892473119,0.9191919191919192,0.7,0.7947598253275109,0.7639784946236559,0.016713091922005572
ex_base_3,test,93,4,48,40,1,0,13.408771437898688,1,0.7621621621621621,0.6992481203007519,0.9230769230769231,0.9587628865979382,0.6992481203007519,0.8086956521739129,0.8111625216888375,0.005376344086021506
ex_base_1,all,326,29,114,43,28,5,10.319781546198994,33,0.859375,0.8834688346883469,0.7972027972027972,0.9183098591549296,0.8834688346883469,0.9005524861878453,0.840335815945572,0.060550458715596334
ex_base_1,train,217,20,72,23,23,4,10.319781546198994,27,0.8704819277108434,0.9041666666666667,0.782608695652174,0.9156118143459916,0.9041666666666667,0.909853249475891,0.8433876811594203,0.07520891364902507
ex_base_1,test,109,9,42,20,5,1,10.319781546198994,6,0.8388888888888889,0.8449612403100775,0.8235294117647058,0.923728813559322,0.8449612403100775,0.8825910931174089,0.8342453260373917,0.03225806451612903
ex_one_2,all,353,27,98,27,17,23,37.20079209563929,40,0.8930693069306931,0.9289473684210526,0.784,0.9289473684210526,0.9289473684210526,0.9289473684210526,0.8564736842105263,0.07339449541284404
ex_one_2,train,235,19,63,17,11,14,37.20079209563929,25,0.8922155688622755,0.9325396825396826,0.7682926829268293,0.9251968503937008,0.9325396825396826,0.9288537549407115,0.8504161827332559,0.06963788300835655
ex_one_2,test,118,8,35,10,6,9,37.20079209563929,15,0.8947368421052632,0.921875,0.813953488372093,0.9365079365079365,0.921875,0.9291338582677166,0.8679142441860466,0.08064516129032258
ex_tool_1,all,334,24,116,52,11,8,53.59744770767492,19,0.8555133079847909,0.8652849740932642,0.8285714285714286,0.9329608938547486,0.8652849740932642,0.8978494623655914,0.8469282013323465,0.03486238532110092
ex_tool_1,train,227,15,75,28,8,6,53.59744770767492,14,0.8753623188405797,0.8901960784313725,0.8333333333333334,0.9380165289256198,0.8901960784313725,0.9134808853118711,0.861764705882353,0.03899721448467967
ex_tool_1,test,107,9,41,24,3,2,53.59744770767492,5,0.8176795580110497,0.816793893129771,0.82,0.9224137931034483,0.816793893129771,0.8663967611336033,0.8183969465648855,0.026881720430107527
ex_one_5,all,276,39,100,79,42,9,39.85844816724095,51,0.7611336032388664,0.7774647887323943,0.7194244604316546,0.8761904761904762,0.7774647887323943,0.8238805970149254,0.7484446245820244,0.09357798165137615
ex_one_5,train,187,30,60,47,29,6,39.85844816724095,35,0.7623456790123457,0.7991452991452992,0.6666666666666666,0.8617511520737328,0.7991452991452992,0.8292682926829268,0.732905982905983,0.09749303621169916
ex_one_5,test,89,9,40,32,13,3,39.85844816724095,16,0.7588235294117647,0.7355371900826446,0.8163265306122449,0.9081632653061225,0.7355371900826446,0.8127853881278538,0.7759318603474448,0.08602150537634409
ex_clinical_4,all,316,32,54,24,57,62,49.26230138594951,119,0.8685446009389671,0.9294117647058824,0.627906976744186,0.9080459770114943,0.9294117647058824,0.9186046511627908,0.7786593707250342,0.21834862385321102
